TEAM,YEAR,FTM,FTA,FT_PCT
Air Force,2010,333,524,.635
Akron,2010,483,735,.657
Alabama,2010,435,615,.707
Alabama A&M,2010,472,743,.635
Alabama State,2010,474,739,.641
Albany (NY),2010,393,545,.721
Alcorn State,2010,443,725,.611
American,2010,395,571,.692
Appalachian State,2010,579,785,.738
Arizona,2010,545,744,.733
Arizona State,2010,445,625,.712
Arkansas,2010,532,782,.680
Arkansas State,2010,452,682,.663
Arkansas-Pine Bluff NCAA,2010,575,861,.668
Army,2010,316,483,.654
Auburn,2010,451,689,.655
Austin Peay,2010,548,790,.694
Ball State,2010,471,685,.688
Baylor NCAA,2010,530,731,.725
Belmont,2010,496,736,.674
Bethune-Cookman,2010,401,624,.643
Binghamton,2010,371,558,.665
Boise State,2010,390,578,.675
Boston College,2010,390,545,.716
Boston University,2010,562,776,.724
Bowling Green State,2010,369,551,.670
Bradley,2010,462,621,.744
Brigham Young NCAA,2010,650,823,.790
Brown,2010,441,602,.733
Bryant,2010,259,389,.666
Bucknell,2010,443,607,.730
Buffalo,2010,453,632,.717
Butler NCAA,2010,661,896,.738
Cal Poly,2010,494,678,.729
Cal State Bakersfield,2010,489,712,.687
Cal State Fullerton,2010,514,720,.714
Cal State Northridge,2010,624,933,.669
California NCAA,2010,543,717,.757
Campbell,2010,509,719,.708
Canisius,2010,427,609,.701
Centenary (LA),2010,461,629,.733
Central Arkansas,2010,454,712,.638
Central Connecticut State,2010,392,547,.717
Central Michigan,2010,406,611,.664
Charleston Southern,2010,331,500,.662
Charlotte,2010,563,768,.733
Chattanooga,2010,390,631,.618
Chicago State,2010,469,709,.661
Cincinnati,2010,428,671,.638
Clemson NCAA,2010,432,654,.661
Cleveland State,2010,477,637,.749
Coastal Carolina,2010,468,740,.632
Colgate,2010,377,550,.685
College of Charleston,2010,323,435,.743
Colorado,2010,561,732,.766
Colorado State,2010,535,791,.676
Columbia,2010,371,553,.671
Connecticut,2010,571,829,.689
Coppin State,2010,377,511,.738
Cornell NCAA,2010,393,538,.730
Creighton,2010,499,693,.720
Dartmouth,2010,263,401,.656
Davidson,2010,405,598,.677
Dayton,2010,525,789,.665
Delaware,2010,421,602,.699
Delaware State,2010,338,499,.677
Denver,2010,450,630,.714
DePaul,2010,308,529,.582
Detroit Mercy,2010,556,849,.655
Drake,2010,437,577,.757
Drexel,2010,427,650,.657
Duke NCAA,2010,682,899,.759
Duquesne,2010,441,730,.604
East Carolina,2010,480,685,.701
East Tennessee State NCAA,2010,537,815,.659
Eastern Illinois,2010,423,587,.721
Eastern Kentucky,2010,332,460,.722
Eastern Michigan,2010,497,755,.658
Eastern Washington,2010,413,579,.713
Elon,2010,392,605,.648
Evansville,2010,470,652,.721
Fairfield,2010,487,699,.697
FDU,2010,481,743,.647
Florida NCAA,2010,472,671,.703
Florida A&M,2010,427,667,.640
Florida Atlantic,2010,424,626,.677
Florida Gulf Coast,2010,393,606,.649
Florida International,2010,436,624,.699
Florida State NCAA,2010,431,669,.644
Fordham,2010,369,544,.678
Fresno State,2010,473,698,.678
Furman,2010,505,706,.715
Gardner-Webb,2010,329,512,.643
George Mason,2010,462,720,.642
George Washington,2010,460,705,.652
Georgetown NCAA,2010,478,672,.711
Georgia,2010,460,641,.718
Georgia Southern,2010,447,665,.672
Georgia State,2010,378,551,.686
Georgia Tech NCAA,2010,512,779,.657
Gonzaga NCAA,2010,608,916,.664
Grambling,2010,392,570,.688
Green Bay,2010,499,680,.734
Hampton,2010,488,720,.678
Hartford,2010,299,468,.639
Harvard,2010,514,672,.765
Hawaii,2010,480,727,.660
