TEAM,YEAR,FTM,FTA,FT_PCT,WINS
Baylor,2010,530,731,0.725,3
Butler,2010,661,896,0.738,4
California,2010,543,717,0.757,1
Cornell,2010,393,538,0.73,2
Duke,2010,682,899,0.759,4
Georgia Tech,2010,512,779,0.657,1
Gonzaga,2010,608,916,0.664,1
Kansas,2010,609,871,0.699,1
Kansas State,2010,734,1098,0.668,3
Kentucky,2010,649,971,0.668,3
Maryland,2010,502,689,0.729,1
Michigan State,2010,523,764,0.685,4
Missouri,2010,517,714,0.724,1
Murray State,2010,571,821,0.695,1
New Mexico,2010,608,909,0.669,1
Northern Iowa,2010,489,645,0.758,2
Ohio,2010,635,883,0.719,1
Ohio State,2010,498,716,0.696,2
Old Dominion,2010,405,625,0.648,1
Purdue,2010,546,755,0.723,2
Syracuse,2010,504,745,0.677,2
Tennessee,2010,520,775,0.671,3
Texas A&M,2010,590,892,0.661,1
Villanova,2010,650,861,0.755,1
Wake Forest,2010,501,762,0.657,1
Washington,2010,652,905,0.72,2
West Virginia,2010,611,868,0.704,4
Wisconsin,2010,416,568,0.732,1
Xavier,2010,621,873,0.711,2
Arizona,2011,671,899,0.746,3
Butler,2011,580,799,0.726,4
Cincinnati,2011,496,742,0.668,1
Duke,2011,622,826,0.753,2
Florida,2011,498,744,0.669,3
Florida State,2011,482,725,0.665,2
George Mason,2011,495,718,0.689,1
Gonzaga,2011,617,810,0.762,1
Illinois,2011,393,539,0.729,1
Kansas,2011,585,862,0.679,3
Kansas State,2011,542,828,0.655,1
Kentucky,2011,560,789,0.71,4
Marquette,2011,645,927,0.696,2
Michigan,2011,351,502,0.699,1
Morehead State,2011,506,751,0.674,1
Notre Dame,2011,599,827,0.724,1
Ohio State,2011,535,763,0.701,2
Purdue,2011,481,673,0.715,1
Richmond,2011,446,649,0.687,2
San Diego State,2011,455,653,0.697,2
Syracuse,2011,474,713,0.665,1
Temple,2011,458,656,0.698,1
Texas,2011,592,905,0.654,1
UCLA,2011,549,808,0.679,1
Washington,2011,480,712,0.674,1
West Virginia,2011,531,747,0.711,1
Wisconsin,2011,436,533,0.818,2
Baylor,2012,572,759,0.754,3
Cincinnati,2012,414,643,0.644,2
Colorado,2012,560,810,0.691,1
Creighton,2012,535,737,0.726,1
Florida,2012,499,700,0.713,3
Florida State,2012,473,669,0.707,1
Georgetown,2012,470,673,0.698,1
Gonzaga,2012,575,803,0.716,1
Indiana,2012,655,858,0.763,2
Iowa State,2012,503,731,0.688,1
Kansas,2012,597,863,0.692,4
Kansas State,2012,536,799,0.671,1
Kentucky,2012,678,938,0.723,4
Lehigh,2012,590,768,0.768,1
Louisville,2012,568,826,0.688,4
Marquette,2012,599,831,0.721,2
Michigan State,2012,531,759,0.7,2
Murray State,2012,551,761,0.724,1
NC State,2012,545,774,0.704,2
New Mexico,2012,529,748,0.707,1
Norfolk State,2012,544,829,0.656,1
Ohio,2012,517,749,0.69,2
Ohio State,2012,600,846,0.709,4
Purdue,2012,452,689,0.656,1
Saint Louis,2012,470,653,0.72,1
South Florida,2012,421,597,0.705,1
Syracuse,2012,495,709,0.698,3
Vanderbilt,2012,538,770,0.699,1
Wisconsin,2012,425,575,0.739,2
Xavier,2012,569,819,0.695,2
Arizona,2013,541,722,0.749,2
Butler,2013,518,744,0.696,1
California,2013,418,585,0.715,1
Colorado State,2013,611,855,0.715,1
Creighton,2013,489,644,0.759,1
Duke,2013,588,796,0.739,3
Florida,2013,422,623,0.677,3
Florida Gulf Coast,2013,497,736,0.675,2
Gonzaga,2013,548,777,0.705,1
Harvard,2013,504,697,0.723,1
Illinois,2013,469,646,0.726,1
Indiana,2013,672,904,0.743,2
Iowa State,2013,509,696,0.731,1
Kansas,2013,596,809,0.737,2
La Salle,2013,446,605,0.737,2
Louisville,2013,652,920,0.709,4
Marquette,2013,551,755,0.73,3
