YEAR,WINNERS
2010,Kentucky
2010,Wake Forest
2010,Cornell
2010,Wisconsin
2010,Washington
2010,New Mexico
2010,Missouri
2010,West Virginia
2010,Kentucky
2010,Cornell
2010,Washington
2010,West Virginia
2010,Kentucky
2010,West Virginia
2010,West Virginia
2010,Kansas
2010,Northern Iowa
2010,Michigan State
2010,Maryland
2010,Tennessee
2010,Ohio
2010,Georgia Tech
2010,Ohio State
2010,Northern Iowa
2010,Michigan State
2010,Tennessee
2010,Ohio State
2010,Michigan State
2010,Tennessee
2010,Michigan State
2010,Duke
2010,California
2010,Texas A&M
2010,Purdue
2010,Old Dominion
2010,Baylor
2010,Saint Mary's
2010,Villanova
2010,Duke
2010,Purdue
2010,Baylor
2010,Saint Mary's
2010,Duke
2010,Baylor
2010,Duke
2010,Syracuse
2010,Gonzaga
2010,Butler
2010,Murray State
2010,Xavier
2010,Pitt
2010,BYU
2010,Kansas State
2010,Syracuse
2010,Butler
2010,Xavier
2010,Kansas State
2010,Butler
2010,Kansas State
2010,Butler
2011,Ohio State
2011,George Mason
2011,West Virginia
2011,Kentucky
2011,Marquette
2011,Syracuse
2011,Washington
2011,UNC
2011,Ohio State
2011,Kentucky
2011,Marquette
2011,UNC
2011,Kentucky
2011,UNC
2011,Kentucky
2011,Pitt
2011,Butler
2011,Kansas State
2011,Wisconsin
2011,Gonzaga
2011,BYU
2011,UCLA
2011,Florida
2011,Butler
2011,Wisconsin
2011,BYU
2011,Florida
2011,Butler
2011,Florida
2011,Butler
2011,Kansas
2011,Illinois
2011,Richmond
2011,Morehead State
2011,VCU
2011,Purdue
2011,Florida State
2011,Notre Dame
2011,Kansas
2011,Richmond
2011,VCU
2011,Florida State
2011,Kansas
2011,VCU
2011,VCU
2011,Duke
2011,Michigan
2011,Arizona
2011,Texas
2011,Cincinnati
2011,UConn
2011,Temple
2011,San Diego State
2011,Duke
2011,Arizona
2011,UConn
2011,San Diego State
2011,Arizona
2011,UConn
2011,UConn
2012,Syracuse
2012,Kansas State
2012,Vanderbilt
2012,Wisconsin
2012,Cincinnati
2012,Florida State
2012,Gonzaga
2012,Ohio State
2012,Syracuse
2012,Wisconsin
2012,Cincinnati
2012,Ohio State
2012,Syracuse
2012,Ohio State
2012,Ohio State
2012,UNC
2012,Creighton
2012,South Florida
2012,Ohio
2012,NC State
2012,Georgetown
2012,Purdue
